release_date,title,production_budget,box_office,profit,roi_percentage,performance,runtime,tagline,poster_url,backdrop_url,trailer,sentiment_score,comment
"Jun 05, 2003",2 Fast 2 Furious,$76.0M,$236.4M,$160.4M,210.99%,0.31,107,How fast do you like it?,https://image.tmdb.org/t/p/w500/6nDZExrDKIXvSAghsFKVFRVJuSf.jpg,https://image.tmdb.org/t/p/w1280/z3ioibdjWZOYeXjoiabFOFOfPI3.jpg,https://www.youtube.com/embed/fDooSsgINLQ,0.54,Pockets ain't empty cuh
"Jun 03, 2006",The Fast and the Furious: Tokyo Drift,$85.0M,$159.0M,$74.0M,87.02%,0.22,104,"On the streets of Tokyo, speed needs no translation.",https://image.tmdb.org/t/p/w500/46xqGOwHbh2TH2avWSw3SMXph4E.jpg,https://image.tmdb.org/t/p/w1280/dMARcKLrv0T7kVJ4iQR3vqTTdtT.jpg,https://www.youtube.com/embed/K6RWbKMSDcg,0.59,Missed opportunity to add some Teriyaki Boys Tokyo Drift song.
"Apr 02, 2009",Fast & Furious,$85.0M,$363.2M,$278.2M,327.25%,0.42,107,New model. Original parts.,https://image.tmdb.org/t/p/w500/lUtVoRukW7WNtUySwd8hWlByBds.jpg,https://image.tmdb.org/t/p/w1280/acktCBsLJcgEJsjTuyiQhJipCD6.jpg,https://www.youtube.com/embed/ne5E7hOQqn0,0.32,Who All Are Missing Our Dear Paul Walker❤‍🩹?
"Apr 20, 2011",Fast Five,$125.0M,$626.1M,$501.1M,400.88%,0.55,130,Get the fifth gear.,https://image.tmdb.org/t/p/w500/gEfQjjQwY7fh5bI4GlG0RrBu7Pz.jpg,https://image.tmdb.org/t/p/w1280/krtWl2iNKAzoZZnVCgApBsH30sb.jpg,https://www.youtube.com/embed/P1UVXvKnCLM,0.85,I remember checking this out at a five dollar theater not expecting much. Never been happier to be surprised
"May 21, 2013",Fast & Furious 6,$160.0M,$788.7M,$628.7M,392.94%,0.58,131,All roads lead to this.,https://image.tmdb.org/t/p/w500/thSmnRdrzPBBospIOJjLZBReqzo.jpg,https://image.tmdb.org/t/p/w1280/xDp29MSWa7O3ROC13r6dPTFnREJ.jpg,https://www.youtube.com/embed/-1ysq_lKovg,0.50,My favourite. The best villain
"Apr 01, 2015",Furious 7,$190.0M,$1515.4M,$1325.4M,697.58%,0.89,137,Vengeance hits home.,https://image.tmdb.org/t/p/w500/wurKlC3VKUgcfsn0K51MJYEleS2.jpg,https://image.tmdb.org/t/p/w1280/cHkhb5A4gQRK6zs6Pv7zorHs8Nk.jpg,https://www.youtube.com/embed/B3Ms2yFvus0,0.67,"We play the game to reach the final boss, but we never wanted to end our journey this quick"
"Apr 12, 2017",The Fate of the Furious,$250.0M,$1236.0M,$986.0M,394.40%,0.69,136,Never give up on family.,https://image.tmdb.org/t/p/w500/dImWM7GJqryWJO9LHa3XQ8DD5NH.jpg,https://image.tmdb.org/t/p/w1280/awuUwOAGCPqC4mIDQmeKdPiiLR5.jpg,https://www.youtube.com/embed/iVdIiOKBPkg,0.31,"""Don't raise your voice, improve your argument."" ---Anonymous"
"Aug 01, 2019",Fast & Furious Presents: Hobbs & Shaw,$200.0M,$760.1M,$560.1M,280.05%,0.48,137,Nothing is stronger than family.,https://image.tmdb.org/t/p/w500/qRyy2UmjC5ur9bDi3kpNNRCc5nc.jpg,https://image.tmdb.org/t/p/w1280/hpgda6P9GutvdkDX5MUJ92QG9aj.jpg,https://www.youtube.com/embed/b736ZM_KfEk,0.75,Best action movie I've seen since Mad Max.
"May 19, 2021",F9,$200.0M,$726.2M,$526.2M,263.11%,0.46,143,Not all blood is family.,https://image.tmdb.org/t/p/w500/deEmLILTPejEb6OGsXRJ5MCvyDW.jpg,https://image.tmdb.org/t/p/w1280/xXHZeb1yhJvnSHPzZDqee0zfMb6.jpg,https://www.youtube.com/embed/TfJkFsCn8Zw,0.23,Can anyone pls tell me What time the trailer comes out in uk time?
"May 17, 2023",Fast X,$340.0M,$704.7M,$364.7M,107.27%,0.3,142,The end of the road begins.,https://image.tmdb.org/t/p/w500/fiVW06jE7z9YnO4trhaMEdclSiC.jpg,https://image.tmdb.org/t/p/w1280/4XM8DUTQb3lhLemJC51Jx4a2EuA.jpg,https://www.youtube.com/embed/eoOaKN4qCKw,0.22,"The series have really forgotten its core. You know racing, fast beautiful cars, honor amoung racers, friendship, forgiveness"
