release_date,title,production_budget,box_office,profit,roi_percentage,performance,runtime,tagline,poster_url,backdrop_url,trailer,sentiment_score,comment
"Nov 16, 2001",Harry Potter and the Philosopher's Stone,$125.0M,$976.5M,$851.5M,681.18%,0.67,152,Let the magic begin.,https://image.tmdb.org/t/p/w500/wuMc08IPKEatf9rnMNXvIDxqP4W.jpg,https://image.tmdb.org/t/p/w1280/5jkE2SzR5uR2egEb1rRhF22JyWN.jpg,https://www.youtube.com/embed/l91Km49W9qI,,
"Nov 13, 2002",Harry Potter and the Chamber of Secrets,$100.0M,$876.7M,$776.7M,776.69%,0.68,161,Something evil has returned to Hogwarts!,https://image.tmdb.org/t/p/w500/sdEOH0992YZ0QSxgXNIGLq1ToUi.jpg,https://image.tmdb.org/t/p/w1280/yHzyPJrVqlTySQ9mc379yxrLBYQ.jpg,https://www.youtube.com/embed/nE11U5iBnH0,,
"May 31, 2004",Harry Potter and the Prisoner of Azkaban,$130.0M,$789.8M,$659.8M,507.54%,0.5,141,Something wicked this way comes.,https://image.tmdb.org/t/p/w500/aWxwnYoe8p2d2fcxOqtvAtJ72Rw.jpg,https://image.tmdb.org/t/p/w1280/htmYEfH7TQgzsXHCnNXxmoYKQtL.jpg,https://www.youtube.com/embed/VwErvYgoH70,0.75,Nice video I say so
"Nov 16, 2005",Harry Potter and the Goblet of Fire,$150.0M,$895.9M,$745.9M,497.28%,0.53,157,Dark and difficult times lie ahead.,https://image.tmdb.org/t/p/w500/fECBtHlr0RB3foNHDiCBXeg9Bv9.jpg,https://image.tmdb.org/t/p/w1280/5rrGVmRUuCKVbqUu41XIWTXJmNA.jpg,https://www.youtube.com/embed/4xkFJgcCQRE,0.61,"of all the years harry spent at hogwarts, for me his fourth year was the worst. the book obviously describes it better, but wow..."
"Jul 08, 2007",Harry Potter and the Order of the Phoenix,$150.0M,$938.2M,$788.2M,525.48%,0.57,138,The rebellion begins.,https://image.tmdb.org/t/p/w500/5aOyriWkPec0zUDxmHFP9qMmBaj.jpg,https://image.tmdb.org/t/p/w1280/82a7AGF081PzFfoM8GAVGMvZNYK.jpg,https://www.youtube.com/embed/47PHbQTmw5g,0.28,"PAL format is used for Region 2 (UK & European DVDs) and Region 4 (Australia, New Zealand, and the Pacific Islands DVDs)"
"Jul 15, 2009",Harry Potter and the Half-Blood Prince,$250.0M,$934.0M,$684.0M,273.58%,0.4,153,Dark Secrets Revealed,https://image.tmdb.org/t/p/w500/z7uo9zmQdQwU5ZJHFpv2Upl30i1.jpg,https://image.tmdb.org/t/p/w1280/ze6Mx4QE5mQVXRYmG2flncqqle4.jpg,https://www.youtube.com/embed/DgeDDXcw--I,0.11,July 15th 2009
"Nov 17, 2010",Harry Potter and the Deathly Hallows: Part 1,$250.0M,$954.3M,$704.3M,281.72%,0.41,146,Nowhere is safe.,https://image.tmdb.org/t/p/w500/iGoXIpQb7Pot00EEdwpwPajheZ5.jpg,https://image.tmdb.org/t/p/w1280/AqLcLsGGTzAjm3pCCq0CZCQrp6m.jpg,https://www.youtube.com/embed/MxqsmsA8y5k,0.44,God I miss being a kid and waiting for another harry Potter flim
"Jul 12, 2011",Harry Potter and the Deathly Hallows: Part 2,$125.0M,$1341.5M,$1216.5M,973.21%,0.88,130,It all ends.,https://image.tmdb.org/t/p/w500/c54HpQmuwXjHq2C9wmoACjxoom3.jpg,https://image.tmdb.org/t/p/w1280/n5A7brJCjejceZmHyujwUTVgQNC.jpg,https://www.youtube.com/embed/5NYt1qirBWg,0.64,"Tbh i thought number 7 was the last movie, until i saw this trailer I freaked out and smiled. I missed watching these growing up"
"Nov 16, 2016",Fantastic Beasts and Where to Find Them,$180.0M,$809.3M,$629.3M,349.63%,0.41,132,From J.K. Rowling's wizarding world.,https://image.tmdb.org/t/p/w500/h6NYfVUyM6CDURtZSnBpz647Ldd.jpg,https://image.tmdb.org/t/p/w1280/8Qsr8pvDL3s1jNZQ4HK1d1Xlvnh.jpg,https://www.youtube.com/embed/Vso5o11LuGU,0.66,no offense tho
"Nov 14, 2018",Fantastic Beasts: The Crimes of Grindelwald,$200.0M,$654.9M,$454.9M,227.45%,0.28,134,Fate of one. Future of all.,https://image.tmdb.org/t/p/w500/fMMrl8fD9gRCFJvsx0SuFwkEOop.jpg,https://image.tmdb.org/t/p/w1280/qrtRKRzoNkf5vemO9tJ2Y4DrHxQ.jpg,https://www.youtube.com/embed/8bYBOVWLNIs,0.69,Warner siempre haciendo un excelente trabajo cuando se trata de jk rouling
"Apr 06, 2022",Fantastic Beasts: The Secrets of Dumbledore,$200.0M,$407.2M,$207.2M,103.60%,0.15,142,Return to the magic.,https://image.tmdb.org/t/p/w500/3c5GNLB4yRSLBby0trHoA1DSQxQ.jpg,https://image.tmdb.org/t/p/w1280/zGLHX92Gk96O1DJvLil7ObJTbaL.jpg,https://www.youtube.com/embed/Fo6TfHkLW6Y,0.42,You should apologize get him back
