release_date,title,production_budget,box_office,profit,roi_percentage,performance,runtime,tagline,poster_url,backdrop_url,trailer,sentiment_score,comment
"Jul 24, 2024",Deadpool & Wolverine,$200.0M,$1338.1M,$1138.1M,569.04%,0.72,128,Come together.,https://image.tmdb.org/t/p/w500/8cdWjvZQUExUUTzyp4t6EDMubfO.jpg,https://image.tmdb.org/t/p/w1280/f6TCICUC8OSBtZDKgg18T6PjfIM.jpg,https://www.youtube.com/embed/Idh8n5XuYIA,0.30,You really are God's perfect idiot said Wolverine to Deadpool
"Nov 08, 2023",The Marvels,$274.8M,$207.1M,$-67.7M,-24.64%,0.16,105,Higher. Further. Faster. Together.,https://image.tmdb.org/t/p/w500/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,https://image.tmdb.org/t/p/w1280/criPrxkTggCra1jch49jsiSeXo1.jpg,https://www.youtube.com/embed/uwmDH12MAA4,0.14,"Nah this movie was actually good no cap 

I watched it on Shrooms, but still ."
"May 03, 2023",Guardians of the Galaxy Vol. 3,$250.0M,$845.6M,$595.6M,238.24%,0.41,150,Once more with feeling.,https://image.tmdb.org/t/p/w500/r2J02Z2OpNTctfOSN1Ydgii51I3.jpg,https://image.tmdb.org/t/p/w1280/5YZbUmjbMa3ClvSW1Wj3D6XGolb.jpg,https://www.youtube.com/embed/AAE5VZktooM,0.79,Recommended gak ni?
"Feb 15, 2023",Ant-Man and the Wasp: Quantumania,$388.4M,$476.1M,$87.7M,22.58%,0.2,125,Witness the beginning of a new dynasty.,https://image.tmdb.org/t/p/w500/qnqGbB22YJ7dSs4o6M7exTpNxPz.jpg,https://image.tmdb.org/t/p/w1280/m8JTwHFwX7I7JY5fPe4SjqejWag.jpg,https://www.youtube.com/embed/5WfTEZJnv_8,0.23,Honestly this trailer was misleading
"Nov 09, 2022",Black Panther: Wakanda Forever,$250.0M,$859.1M,$609.1M,243.64%,0.42,162,Forever.,https://image.tmdb.org/t/p/w500/sv1xJUazXeYqALzczSZ3O6nkH75.jpg,https://image.tmdb.org/t/p/w1280/1GU0jS5ZG5MhfdDrpj8s9XxbgJJ.jpg,https://www.youtube.com/embed/_Z3QKkl1WyM,0.58,":( chadwick boseman was a great black panther, miss him."
"Jul 06, 2022",Thor: Love and Thunder,$250.0M,$760.9M,$510.9M,204.36%,0.37,119,The one is not the only.,https://image.tmdb.org/t/p/w500/pIkRyD18kl4FhoCNQuWxWu5cBLM.jpg,https://image.tmdb.org/t/p/w1280/jsoz1HlxczSuTx0mDl2h0lxy36l.jpg,https://www.youtube.com/embed/Go8nTmfrQd8,0.22,Looks like She Thor is here to undermine men in a feminist BS fashion
"May 04, 2022",Doctor Strange in the Multiverse of Madness,$200.0M,$955.8M,$755.8M,377.89%,0.53,126,Enter a new dimension of Strange.,https://image.tmdb.org/t/p/w500/ddJcSKbcp4rKZTmuyWaMhuwcfMz.jpg,https://image.tmdb.org/t/p/w1280/iKUwhA4DUxMcNKu5lLSbDFwwilk.jpg,https://www.youtube.com/embed/Rf8LAYJSOL8,,
"Dec 15, 2021",Spider-Man: No Way Home,$200.0M,$1921.8M,$1721.8M,860.92%,0.9,148,The Multiverse unleashed.,https://image.tmdb.org/t/p/w500/x8AOx0zIfpNKZ1eVW4fhmUiZNqU.jpg,https://image.tmdb.org/t/p/w1280/zD5v1E4joAzFvmAEytt7fM3ivyT.jpg,https://www.youtube.com/embed/1mTjfMFyPi8,0.57,Thumbnail alone got me chills lol.
"Nov 03, 2021",Eternals,$200.0M,$402.1M,$202.1M,101.03%,0.26,156,In the beginning...,https://image.tmdb.org/t/p/w500/lFByFSLV5WDJEv3KabbdAF959F2.jpg,https://image.tmdb.org/t/p/w1280/c6H7Z4u73ir3cIoCteuhJh7UCAR.jpg,https://www.youtube.com/embed/x_me3xsvDgk,0.35,I’m not a marvel fan but I thought this movie was ok 👍🏼
"Sep 01, 2021",Shang-Chi and the Legend of the Ten Rings,$150.0M,$432.2M,$282.2M,188.16%,0.31,132,You can't outrun your destiny.,https://image.tmdb.org/t/p/w500/d08HqqeBQSwN8i8MEvpsZ8Cb438.jpg,https://image.tmdb.org/t/p/w1280/rAksPS6LjBONzY84szQBz5gGej6.jpg,https://www.youtube.com/embed/8YjFbMbfXaQ,0.33,"this needs a sequel already, One thing I don't like about MCU is too many of the good franchise are constrained to what's happe..."
"Jul 07, 2021",Black Widow,$200.0M,$379.8M,$179.8M,89.88%,0.25,134,Her world. Her secrets. Her legacy.,https://image.tmdb.org/t/p/w500/kwB7d51AIcyzPOBOHLCEZJkmPhQ.jpg,https://image.tmdb.org/t/p/w1280/dq18nCTTLpy9PmtzZI6Y2yAgdw5.jpg,https://www.youtube.com/embed/Fp9pNPdNwjI,0.55,I have found 3 black widows in my neighbors barn they don't bother me
"Jun 28, 2019",Spider-Man: Far From Home,$160.0M,$1131.9M,$971.9M,607.45%,0.71,129,It’s time to step up.,https://image.tmdb.org/t/p/w500/4q2NNj4S5dG2RLF9CpXsej7yXl.jpg,https://image.tmdb.org/t/p/w1280/34jW8LvjRplM8Pv06cBFDpLlenR.jpg,https://www.youtube.com/embed/LFoz8ZJWmPs,0.11,Revisiting this trailer after more than Five Years.
